blockNumber;time;netHashPerSecond
126144;1409154162.00;90445257390
126288;1409177133.00;86423136184
126432;1409200177.00;81922148441
126576;1409221941.00;89465390525
126720;1409244766.00;81032299820
126864;1409267120.00;84456474691
127008;1409289579.00;84352894343
127152;1409312870.00;90640751964
127296;1409335431.00;83758780118
127440;1409357620.00;84533262699
127584;1409380807.00;79722716284
127728;1409403140.00;81571610074
127872;1409425708.00;80716545523
128016;1409448274.00;78880495904
128160;1409470537.00;79847263175
128304;1409493068.00;78097689942
128448;1409515817.00;81686481970
128592;1409539215.00;79732523428
128736;1409561606.00;77083972506
128880;1409584378.00;80534494343
129024;1409606747.00;76146180704
129168;1409629344.00;76377443244
129312;1409651961.00;76550249554
129456;1409674209.00;80048652359
129600;1409697118.00;76701600593
129744;1409719936.00;77924327927
129888;1409742350.00;75088725714
130032;1409765344.00;77646520819
130176;1409787800.00;86327767064
130320;1409810549.00;79995102940
130464;1409832541.00;88196779506
130608;1409855197.00;91145268360
130752;1409877575.00;89412842370
130896;1409900828.00;95430553666
131040;1409923163.00;87425274772
131184;1409945922.00;88733715354
131328;1409968349.00;80179364228
131472;1409990611.00;86641636190
131616;1410014000.00;87409935396
131760;1410036278.00;90081616544
131904;1410058810.00;88048332884
132048;1410080927.00;98291478772
132192;1410103787.00;95957652118
132336;1410126450.00;94128846454
132480;1410148634.00;87894267271
132624;1410171769.00;85829449029
132768;1410194236.00;93361158227
132912;1410217098.00;86113363409
133056;1410238587.00;89154691775
133200;1410262463.00;81062713230
133344;1410284804.00;92971923011
133488;1410307576.00;83026585657
133632;1410330544.00;79544290154
133776;1410352506.00;84502901319
133920;1410376559.00;81152577484
134064;1410398153.00;84695043878
134208;1410420581.00;81569039812
134352;1410443905.00;79431435586
134496;1410466274.00;81774267172
134640;1410489099.00;74748653249
